,Investor Type,Years Forecasted,Initial Investment,Final Value
1346,aggressive_investor,25,1932046,13568375
1347,nervous_investor,19,970370,3070141
1348,aggressive_investor,20,1228322,4873180
1349,moderate_investor,27,650490,4336599
1350,nervous_investor,40,1373117,14830082
1351,conservative_investor,25,1624557,6947203
1352,nervous_investor,48,517466,12201683
1353,moderate_investor,36,1601944,23493307
1354,nervous_investor,14,940419,1657069
1355,moderate_investor,31,880899,8737817
1356,nervous_investor,42,545492,4930487
1357,nervous_investor,46,1293865,16415669
1358,conservative_investor,47,1327805,18895514
1359,conservative_investor,14,1984841,4206814
1360,moderate_investor,11,1948137,4609420
1361,aggressive_investor,47,1509842,79100112
1362,conservative_investor,23,1344135,5190205
1363,moderate_investor,36,512551,7438599
1364,aggressive_investor,43,1940193,51171072
1365,nervous_investor,40,1113995,14111886
1366,aggressive_investor,14,715670,2016119
1367,moderate_investor,36,1184250,17018094
1368,nervous_investor,41,300612,2551325
1369,aggressive_investor,40,211986,5141556
1370,nervous_investor,31,648629,3719619
1371,nervous_investor,42,1170823,14099644
1372,nervous_investor,35,1180593,10918645
1373,nervous_investor,39,369649,3107986
1374,aggressive_investor,34,1298093,18242556
1375,moderate_investor,43,659583,16286225
1376,moderate_investor,29,1848415,17059356
1377,aggressive_investor,48,291615,13433341
1378,nervous_investor,21,1760754,6026081
1379,aggressive_investor,24,289241,1800108
1380,nervous_investor,10,1548968,2805396
1381,moderate_investor,29,845633,6963761
1382,nervous_investor,26,264108,1195062
1383,nervous_investor,22,439715,1900405
1384,aggressive_investor,34,25459,363791
1385,moderate_investor,22,1473473,7534599
1386,aggressive_investor,50,289842,16663435
1387,conservative_investor,30,1688410,9801747
1388,aggressive_investor,46,1703380,66102847
1389,moderate_investor,37,1118918,16985140
1390,nervous_investor,36,483950,3631268
1391,aggressive_investor,15,125868,382511
1392,nervous_investor,14,1622867,3278946
1393,moderate_investor,23,701964,3908136
1394,aggressive_investor,40,624509,12724113
1395,aggressive_investor,39,293097,6611027
1396,nervous_investor,28,1863520,12799955
1397,moderate_investor,15,291105,897077
1398,conservative_investor,46,1842582,26297441
1399,moderate_investor,41,521752,11412537
1400,aggressive_investor,45,231420,8325537
1401,moderate_investor,48,774779,25506891
1402,conservative_investor,31,75437,443430
1403,conservative_investor,42,1823238,19599707
1404,aggressive_investor,23,552883,3022684
1405,nervous_investor,31,299829,1258453
1406,nervous_investor,49,921101,14383778
1407,aggressive_investor,23,1826828,10715282
1408,nervous_investor,25,461051,1712689
1409,nervous_investor,43,1134113,9760122
1410,conservative_investor,26,834072,3757462
1411,moderate_investor,29,1785478,15482437
1412,moderate_investor,37,1680280,30488396
1413,aggressive_investor,43,1688104,69073695
1414,moderate_investor,31,1073705,10575834
1415,aggressive_investor,24,585106,3045748
1416,nervous_investor,10,1003449,1684992
1417,aggressive_investor,35,238029,3385023
1418,conservative_investor,20,979069,3151750
1419,moderate_investor,41,1609435,30727656
1420,conservative_investor,17,1264221,3500722
1421,nervous_investor,37,734787,7305944
1422,moderate_investor,38,1861492,31849788
1423,aggressive_investor,32,1970448,21804042
1424,nervous_investor,43,1902744,30526294
1425,moderate_investor,41,389626,9496496
1426,nervous_investor,36,955632,10159002
1427,aggressive_investor,46,1033725,34539063
1428,nervous_investor,18,1238293,3474488
1429,aggressive_investor,37,1077099,18670052
1430,moderate_investor,40,660486,11959216
1431,conservative_investor,14,33015,75099
1432,moderate_investor,30,909015,8303361
1433,aggressive_investor,31,444455,4823533
1434,aggressive_investor,36,1993137,36433462
1435,nervous_investor,33,512610,2960136
1436,aggressive_investor,45,983285,32908776
1437,nervous_investor,15,321963,663350
1438,conservative_investor,18,596523,1696542
1439,nervous_investor,31,706415,3520991
1440,moderate_investor,26,1165167,8070689
1441,moderate_investor,33,1216975,16911506
1442,nervous_investor,25,65681,326485
1443,nervous_investor,10,1141237,2224749
1444,aggressive_investor,35,384538,5923748
1445,aggressive_investor,36,1272993,21466788
1446,nervous_investor,23,1649039,4707723
1447,nervous_investor,30,16558,99323
1448,moderate_investor,15,636676,2013928
1449,aggressive_investor,33,929387,10963312
1450,moderate_investor,29,1678379,14374877
1451,conservative_investor,43,1789465,21829749
1452,aggressive_investor,34,14904,205309
1453,moderate_investor,29,535813,4561973
1454,nervous_investor,21,697910,2330016
1455,conservative_investor,29,448344,2722276
1456,aggressive_investor,29,967023,8523876
1457,aggressive_investor,48,493528,26379872
1458,nervous_investor,31,434736,2485325
1459,conservative_investor,47,1605720,22671598
1460,conservative_investor,18,461796,1352507
1461,conservative_investor,48,1942369,28547425
1462,aggressive_investor,40,1407682,33378809
1463,conservative_investor,43,424242,4740916
1464,conservative_investor,48,271287,4411594
1465,aggressive_investor,45,1332798,43093294
1466,moderate_investor,50,794184,39321054
1467,moderate_investor,38,505310,9552691
1468,conservative_investor,31,872613,4935530
1469,aggressive_investor,48,1148990,47141046
1470,nervous_investor,13,1343617,2861414
1471,conservative_investor,49,98333,1607269
1472,aggressive_investor,44,357945,12055708
1473,moderate_investor,49,988661,38882239
1474,conservative_investor,40,583543,6177126
1475,aggressive_investor,38,239815,4130003
1476,nervous_investor,49,888588,18708546
1477,conservative_investor,31,917681,5716517
1478,aggressive_investor,44,684957,20909658
1479,nervous_investor,42,615467,5703039
1480,nervous_investor,10,525673,1031333
1481,conservative_investor,23,816788,3128242
1482,nervous_investor,39,1705803,23428819
1483,aggressive_investor,36,1463669,22400396
1484,conservative_investor,29,1923594,9795699
1485,nervous_investor,13,960145,1854652
1486,aggressive_investor,39,1357008,28902018
1487,aggressive_investor,20,581727,2936224
1488,moderate_investor,43,101034,2501324
1489,moderate_investor,45,991420,27810026
1490,nervous_investor,45,1512418,25850603
1491,moderate_investor,42,1698185,41729348
1492,aggressive_investor,48,1880945,99262522
1493,nervous_investor,35,1237935,8878305
1494,aggressive_investor,15,1394350,3917967
1495,conservative_investor,27,1505066,7074241
1496,moderate_investor,42,663830,16346324
1497,moderate_investor,14,25178,70058
1498,aggressive_investor,49,255186,14407000
1499,conservative_investor,46,1799995,24640531
1500,nervous_investor,14,491873,1081072
1501,nervous_investor,23,1544015,4555614
1502,conservative_investor,34,518720,3722380
1503,aggressive_investor,27,1963878,15600162
1504,conservative_investor,26,229709,1060189
1505,moderate_investor,21,1197096,6220918
1506,conservative_investor,19,208638,614591
1507,conservative_investor,12,499107,1013010
1508,moderate_investor,45,1303825,37349954
1509,moderate_investor,40,336661,6206790
1510,conservative_investor,22,735233,2646915
1511,conservative_investor,24,903758,3641883
1512,aggressive_investor,13,1450443,3861328
1513,aggressive_investor,32,616955,6588477
1514,nervous_investor,20,381452,1408709
1515,nervous_investor,42,475231,5415622
1516,aggressive_investor,32,323560,4027570
1517,aggressive_investor,49,1607292,100867502
1518,nervous_investor,16,633973,1695297
1519,aggressive_investor,43,1853302,49125672
1520,conservative_investor,48,913005,14204783
1521,nervous_investor,21,1052759,3102166
1522,moderate_investor,45,578875,14917813
1523,conservative_investor,15,1502013,3640193
1524,moderate_investor,13,187222,466503
1525,aggressive_investor,36,914353,15133570
1526,conservative_investor,15,1230537,2957860
1527,conservative_investor,46,82944,1191357
1528,conservative_investor,10,933817,1698885
1529,conservative_investor,36,973205,8136542
1530,nervous_investor,24,940620,3884959
1531,conservative_investor,37,1018173,8456897
1532,conservative_investor,33,1127112,7609598
1533,nervous_investor,33,323516,2180231
1534,aggressive_investor,27,1912716,18644283
1535,conservative_investor,32,266097,1746157
1536,moderate_investor,30,975485,8867108
1537,conservative_investor,27,1254566,6190137
1538,aggressive_investor,45,1088395,34911877
1539,conservative_investor,48,143543,2249283
1540,moderate_investor,36,1181703,16517394
1541,conservative_investor,48,958333,15343514
1542,aggressive_investor,40,640258,14846314
1543,nervous_investor,45,1104947,16039462
1544,aggressive_investor,19,1560024,6002710
1545,conservative_investor,15,923539,2232388
1546,aggressive_investor,38,312188,6473513
1547,conservative_investor,18,530332,1478561
1548,nervous_investor,15,1871862,4245889
1549,nervous_investor,25,1723426,7069092
1550,nervous_investor,22,926680,2920810
1551,moderate_investor,17,235674,836815
1552,conservative_investor,22,1970101,7211401
1553,nervous_investor,36,1625382,13688078
1554,conservative_investor,50,1252607,23692201
1555,moderate_investor,37,1924204,29384556
1556,aggressive_investor,26,41864,323999
1557,moderate_investor,48,336497,11184223
1558,nervous_investor,33,676603,4760260
1559,nervous_investor,44,199365,2829513
1560,conservative_investor,28,121268,618680
1561,nervous_investor,19,27393,84758
1562,aggressive_investor,17,1131351,4299342
1563,aggressive_investor,28,250666,2267659
1564,aggressive_investor,38,1015535,19178615
1565,conservative_investor,42,368315,3813704
1566,aggressive_investor,40,182141,4265962
1567,nervous_investor,26,1246377,4843401
1568,moderate_investor,33,617767,7236665
1569,moderate_investor,24,702354,4070501
1570,nervous_investor,34,1278693,10683173
1571,nervous_investor,45,979120,14731949
1572,moderate_investor,20,434040,1856744
1573,moderate_investor,36,55221,823996
1574,aggressive_investor,10,338686,758209
1575,aggressive_investor,26,742409,5365258
1576,moderate_investor,29,963392,8218001
1577,nervous_investor,11,1536129,2547777
1578,nervous_investor,18,807664,2556598
1579,moderate_investor,15,992457,2883022
1580,nervous_investor,39,1943785,20564269
1581,nervous_investor,35,1635092,12115085
1582,conservative_investor,22,1887456,6542494
1583,conservative_investor,20,752435,2419068
1584,moderate_investor,37,311715,4955598
1585,nervous_investor,18,919035,2569792
1586,moderate_investor,23,1104046,6429543
1587,nervous_investor,33,38019,258502
1588,moderate_investor,31,463035,4938341
1589,nervous_investor,19,1407641,4554923
1590,moderate_investor,13,310304,829482
1591,nervous_investor,31,806259,5190429
1592,nervous_investor,13,1815533,4203252
1593,conservative_investor,39,426774,4042031
1594,aggressive_investor,46,1409911,46917735
1595,moderate_investor,26,1223625,8534225
1596,conservative_investor,31,763857,4375487
1597,moderate_investor,24,1032528,5752942
1598,nervous_investor,44,1803032,22383197
1599,nervous_investor,30,1495830,11572957
1600,conservative_investor,20,1510651,4977212
1601,nervous_investor,16,57933,164656
1602,aggressive_investor,44,132616,4649047
1603,aggressive_investor,31,1048337,10321871
1604,moderate_investor,30,1821926,18135076
1605,moderate_investor,46,929544,32345020
1606,aggressive_investor,46,1673734,86919754
1607,conservative_investor,46,934131,13545412
1608,moderate_investor,18,149637,532214
1609,moderate_investor,42,1496300,34080987
1610,conservative_investor,44,514321,6788974
1611,conservative_investor,38,1992045,17997173
1612,aggressive_investor,46,1528959,49700548
1613,moderate_investor,30,243347,2471781
1614,moderate_investor,46,1315225,35660970
1615,conservative_investor,47,51007,746292
1616,moderate_investor,40,344479,7301235
1617,conservative_investor,40,20809,200869
1618,nervous_investor,46,1985476,25829065
1619,conservative_investor,25,341406,1391645
1620,moderate_investor,21,1819041,8907922
1621,nervous_investor,22,130509,413136
1622,aggressive_investor,42,159338,4601696
1623,nervous_investor,24,417499,1532200
1624,aggressive_investor,18,676765,2579652
1625,aggressive_investor,11,1867388,3825956
1626,nervous_investor,27,939166,5589036
1627,moderate_investor,35,1803448,25119332
1628,aggressive_investor,29,492460,4670735
1629,nervous_investor,20,1756897,6671801
1630,aggressive_investor,28,717338,6484913
1631,aggressive_investor,34,1643889,21574035
1632,moderate_investor,14,485994,1454285
1633,moderate_investor,10,767993,1560122
1634,moderate_investor,13,1922854,4887406
1635,aggressive_investor,39,782118,15435228
1636,conservative_investor,21,279756,946163
1637,conservative_investor,50,964957,16577452
1638,nervous_investor,17,1260589,3500854
1639,aggressive_investor,23,112498,633679
1640,conservative_investor,15,711723,1718918
1641,aggressive_investor,37,1992791,42906135
1642,nervous_investor,11,1562474,2626937
1643,nervous_investor,16,1888241,4847132
1644,conservative_investor,32,1546718,9693421
1645,moderate_investor,39,245599,4451886
1646,moderate_investor,14,831140,2295254
1647,nervous_investor,41,917838,8590756
1648,moderate_investor,29,591959,4888607
1649,conservative_investor,12,649369,1300096
1650,nervous_investor,26,1697797,8560298
1651,moderate_investor,43,1707741,37518311
1652,aggressive_investor,13,229902,692204
1653,aggressive_investor,38,709242,16208915
1654,nervous_investor,32,322388,1928525
1655,conservative_investor,37,71170,649270
1656,aggressive_investor,39,1273873,26321424
1657,nervous_investor,14,1659940,3167083
1658,aggressive_investor,34,1809864,27399990
1659,nervous_investor,20,1738393,8182474
1660,aggressive_investor,45,1194126,31471627
1661,aggressive_investor,20,1382875,6660164
1662,conservative_investor,21,729602,2494479
1663,nervous_investor,12,491289,815071
1664,aggressive_investor,20,1461186,7584958
1665,conservative_investor,10,905900,1592185
1666,nervous_investor,36,1416584,13322894
1667,aggressive_investor,43,1237800,34171025
1668,conservative_investor,16,1338087,3424963
1669,aggressive_investor,21,437722,2285404
1670,conservative_investor,39,1918564,18112102
1671,aggressive_investor,37,1712349,30488780
1672,moderate_investor,39,702321,12413335
1673,nervous_investor,45,770398,8889140
1674,conservative_investor,35,830522,6212221
1675,moderate_investor,22,587104,3060221
1676,conservative_investor,35,784796,5506034
1677,moderate_investor,50,843544,39568416
1678,moderate_investor,48,1483244,50233258
1679,conservative_investor,31,185264,1105969
1680,conservative_investor,50,1144914,20732831
1681,nervous_investor,12,115754,185003
1682,moderate_investor,41,136633,2793351
1683,nervous_investor,28,385713,2578995
1684,nervous_investor,29,1989489,12008808
1685,conservative_investor,33,1783114,12172811
1686,nervous_investor,35,993566,7630281
1687,aggressive_investor,40,83276,2416431
1688,moderate_investor,42,1637241,38364251
1689,moderate_investor,49,813486,32888140
1690,nervous_investor,38,1896146,17942026
1691,aggressive_investor,29,1723551,17612631
1692,aggressive_investor,25,1243508,7544068
1693,moderate_investor,19,1828828,7512475
1694,aggressive_investor,34,1533219,19340505
1695,nervous_investor,42,1975387,20954679
1696,moderate_investor,41,496495,11984239
1697,nervous_investor,30,244349,1576280
1698,aggressive_investor,30,1883081,20189065
1699,conservative_investor,38,1322373,10911598
1700,moderate_investor,24,1146675,6700779
1701,moderate_investor,31,187961,1930438
1702,aggressive_investor,18,307183,1391718
1703,aggressive_investor,30,484502,4960582
1704,conservative_investor,17,34844,90273
1705,aggressive_investor,42,256981,6826752
1706,conservative_investor,34,1096819,8340775
1707,moderate_investor,26,1024415,7129144
1708,aggressive_investor,43,238882,5458729
1709,nervous_investor,44,391789,5287802
1710,conservative_investor,19,115495,353962
1711,nervous_investor,14,283878,671219
1712,nervous_investor,38,404888,4348994
1713,conservative_investor,30,1160310,6399140
1714,conservative_investor,36,582850,4454357
1715,moderate_investor,34,1633410,21853633
1716,aggressive_investor,50,1727353,102520211
1717,aggressive_investor,10,1801272,3848920
1718,nervous_investor,28,903315,5829813
1719,aggressive_investor,21,1881348,8807485
1720,nervous_investor,12,1735442,3503137
1721,nervous_investor,16,938414,2324987
1722,aggressive_investor,32,406530,4984262
1723,nervous_investor,11,789317,1287551
1724,conservative_investor,38,1016793,9409807
1725,nervous_investor,37,1904801,17239336
1726,aggressive_investor,17,763018,2908450
1727,aggressive_investor,11,1807647,3663899
1728,moderate_investor,48,1075238,37580573
1729,conservative_investor,22,881676,3331599
1730,conservative_investor,50,1068774,20218635
1731,conservative_investor,21,1878657,6220396
1732,aggressive_investor,10,71695,157087
1733,conservative_investor,50,647140,10600857
1734,conservative_investor,41,1005757,9940863
1735,conservative_investor,19,1233456,3687567
1736,moderate_investor,41,1208233,25401617
1737,nervous_investor,48,1556083,25665135
1738,moderate_investor,15,981615,2898867
1739,nervous_investor,47,1497917,28325195
1740,aggressive_investor,30,1294546,15743963
1741,moderate_investor,23,335154,1880135
1742,aggressive_investor,18,208760,833159
1743,moderate_investor,10,1723175,3568673
1744,nervous_investor,28,874045,6081480
1745,moderate_investor,50,891603,43505806
1746,aggressive_investor,47,331427,9936026
1747,aggressive_investor,15,1589314,4684626
1748,aggressive_investor,28,1512147,14289084
1749,aggressive_investor,29,1056901,12934995
1750,moderate_investor,24,1300446,8075676
1751,moderate_investor,11,541173,1255333
1752,aggressive_investor,22,688403,3285609
1753,conservative_investor,42,562261,5898132
1754,aggressive_investor,21,1853676,9294098
1755,conservative_investor,45,198229,2663999
1756,aggressive_investor,11,1738924,4334480
1757,nervous_investor,21,1903726,5228816
1758,nervous_investor,41,1480612,12627808
1759,moderate_investor,15,270979,844527
1760,conservative_investor,38,1756500,17216412
1761,aggressive_investor,15,1432092,4440816
1762,aggressive_investor,34,1682518,22634599
1763,nervous_investor,22,45656,144270
1764,nervous_investor,21,1635443,4896156
1765,moderate_investor,49,61863,2494444
1766,moderate_investor,15,1878595,5502013
1767,moderate_investor,27,720026,5122441
1768,nervous_investor,19,151798,399117
1769,aggressive_investor,27,992486,8595814
1770,nervous_investor,35,1677793,13383241
1771,nervous_investor,24,1612496,6025806
1772,conservative_investor,30,622025,3816419
1773,nervous_investor,21,1820976,6277760
1774,aggressive_investor,25,532943,4294667
1775,moderate_investor,18,1155091,4548316
1776,moderate_investor,34,719624,9686058
1777,conservative_investor,31,1139612,7010783
1778,conservative_investor,30,52003,303728
1779,aggressive_investor,29,385746,3821126
1780,conservative_investor,43,1374419,15907895
1781,moderate_investor,42,1569980,40343311
1782,nervous_investor,19,726358,2243404
1783,moderate_investor,38,838276,14606021
1784,nervous_investor,41,167392,1641035
1785,conservative_investor,14,1719534,3867736
1786,moderate_investor,37,1524508,22828185
1787,aggressive_investor,39,1874938,38504532
1788,aggressive_investor,38,1842682,35529927
1789,moderate_investor,22,1026572,5260499
1790,moderate_investor,11,1061287,2417518
1791,moderate_investor,46,1588972,48585403
1792,aggressive_investor,38,84476,1412120
1793,conservative_investor,24,1293304,4865499
1794,nervous_investor,15,1740458,4506021
1795,conservative_investor,36,824130,6730989
1796,conservative_investor,41,1825551,19195105
1797,moderate_investor,48,1071571,34565300
1798,conservative_investor,10,274636,498759
1799,aggressive_investor,25,1822427,15893906
1800,aggressive_investor,46,327055,11896958
1801,nervous_investor,37,559295,5918844
1802,nervous_investor,42,1933340,20643329
1803,aggressive_investor,22,1758945,8565057
1804,conservative_investor,28,1376398,6587483
1805,nervous_investor,38,1300929,10688001
1806,conservative_investor,27,91101,438824
1807,aggressive_investor,34,490288,7008973
1808,moderate_investor,37,1738538,27781323
1809,conservative_investor,40,1152059,10313231
1810,aggressive_investor,34,1692573,25352818
1811,conservative_investor,41,467737,5269755
1812,nervous_investor,49,884829,14097063
1813,moderate_investor,25,692171,4371839
1814,conservative_investor,19,416921,1293729
1815,aggressive_investor,42,1607733,43546487
1816,moderate_investor,38,623560,9948934
1817,nervous_investor,47,643219,15536061
1818,aggressive_investor,38,1468981,33430079
1819,conservative_investor,46,1298881,18259505
1820,moderate_investor,20,1529160,6638532
1821,conservative_investor,16,1243794,3039709
1822,conservative_investor,24,1821754,7684954
1823,moderate_investor,48,1041889,42765427
1824,nervous_investor,25,293717,1191320
1825,conservative_investor,30,1958023,10980486
1826,aggressive_investor,50,1697407,113222261
1827,moderate_investor,31,1851086,18079542
1828,aggressive_investor,12,124678,252651
1829,moderate_investor,32,1639743,18990753
1830,nervous_investor,34,1849686,15103955
1831,nervous_investor,33,1183472,7919097
1832,nervous_investor,16,1674454,4041979
1833,aggressive_investor,40,1402665,31191509
1834,aggressive_investor,38,1306129,23883476
1835,moderate_investor,39,1390457,26663810
1836,conservative_investor,13,1618188,3554862
1837,nervous_investor,17,937644,2415206
1838,aggressive_investor,41,1425528,35122125
1839,moderate_investor,49,1289447,48510167
1840,nervous_investor,37,1171277,14293343
1841,conservative_investor,38,423208,3617938
1842,moderate_investor,38,1154444,18822645
1843,conservative_investor,11,764332,1433746
1844,nervous_investor,41,1828306,15093446
1845,conservative_investor,32,1348534,9048952
1846,moderate_investor,50,1348264,58615365
1847,moderate_investor,39,1137033,23719134
1848,conservative_investor,32,1702204,10931268
1849,nervous_investor,27,1225299,5385396
1850,moderate_investor,41,944952,21577817
1851,conservative_investor,23,982077,3801081
1852,moderate_investor,11,579846,1330301
1853,moderate_investor,13,1656699,4406451
1854,conservative_investor,21,1228544,4175677
1855,conservative_investor,18,942590,2790366
1856,nervous_investor,11,888243,1363110
1857,moderate_investor,29,1344164,11060710
1858,aggressive_investor,27,1661358,13426622
1859,nervous_investor,41,365998,3512513
1860,nervous_investor,13,1368047,2608119
1861,moderate_investor,11,876414,1940838
1862,nervous_investor,47,1300892,26492493
1863,moderate_investor,26,941432,6661481
1864,aggressive_investor,40,1808376,36442840
1865,moderate_investor,33,1036073,12477085
1866,aggressive_investor,30,290827,3463159
1867,nervous_investor,10,1926731,4200799
1868,moderate_investor,40,1762487,32798156
1869,aggressive_investor,40,1631322,46978504
1870,conservative_investor,12,1634772,3247358
1871,moderate_investor,49,47568,1768606
1872,conservative_investor,41,1415387,15162917
1873,moderate_investor,35,196326,2856952
1874,nervous_investor,47,789037,13423082
1875,nervous_investor,17,1466053,3496277
1876,aggressive_investor,21,570445,2469057
1877,aggressive_investor,38,1468965,32039043
1878,nervous_investor,28,392369,3621837
1879,moderate_investor,37,1534198,24257161
1880,moderate_investor,32,1429780,16649185
1881,conservative_investor,15,669123,1553667
1882,conservative_investor,40,1526467,13843130
1883,moderate_investor,31,1441091,14501833
1884,aggressive_investor,20,1066754,4751098
1885,moderate_investor,26,1290340,8834300
1886,conservative_investor,28,876467,4399923
1887,conservative_investor,11,1758100,3454445
1888,conservative_investor,13,946282,2040106
1889,aggressive_investor,45,804336,24480110
1890,nervous_investor,32,196015,1591116
1891,moderate_investor,19,277961,1142642
1892,moderate_investor,39,64402,1134987
1893,aggressive_investor,17,1808991,5957669
1894,aggressive_investor,20,676388,3133763
1895,moderate_investor,22,261609,1275302
1896,aggressive_investor,12,376241,851383
1897,moderate_investor,23,181228,1032780
1898,moderate_investor,36,955296,12122565
1899,nervous_investor,39,168891,1620808
1900,conservative_investor,32,971305,6330111
1901,aggressive_investor,18,945876,3536349
1902,aggressive_investor,40,1603989,37189501
1903,nervous_investor,34,1503786,11687689
1904,conservative_investor,50,1391880,25267950
1905,aggressive_investor,33,958677,12059089
1906,aggressive_investor,36,914912,14902784
1907,aggressive_investor,50,1024643,46439875
1908,nervous_investor,18,1943623,5861272
1909,moderate_investor,25,1506548,9919592
1910,conservative_investor,10,991519,1774796
1911,conservative_investor,41,554360,6123191
1912,moderate_investor,49,853198,35091750
1913,conservative_investor,30,1447240,8476389
1914,conservative_investor,32,1988752,12311767
1915,aggressive_investor,26,155504,1110726
1916,moderate_investor,27,223006,1704249
1917,conservative_investor,12,363611,707112
1918,conservative_investor,18,1407217,4086964
1919,conservative_investor,48,1488805,26469526
1920,nervous_investor,39,1058377,9190492
1921,moderate_investor,10,559274,1227036
1922,moderate_investor,28,933342,8137027
1923,nervous_investor,16,907640,2179079
1924,aggressive_investor,39,1908584,48710758
1925,moderate_investor,47,88307,3052404
1926,nervous_investor,15,1333071,3652604
1927,conservative_investor,46,951059,13659205
1928,aggressive_investor,10,1749628,4230242
1929,nervous_investor,41,185374,1931444
1930,moderate_investor,26,580751,4179482
1931,nervous_investor,28,646531,3347380
1932,conservative_investor,28,164873,888819
1933,moderate_investor,29,1193283,11168617
1934,aggressive_investor,45,1441353,47917199
1935,aggressive_investor,38,1830537,33438400
1936,nervous_investor,20,1350809,4572690
1937,aggressive_investor,15,1305632,4192690
1938,conservative_investor,15,1753923,4023073
1939,moderate_investor,37,271891,4379551
1940,nervous_investor,31,1210628,6567494
1941,aggressive_investor,35,1304013,20512155
1942,moderate_investor,21,560265,2853376
1943,nervous_investor,35,152278,1279442
1944,aggressive_investor,41,181758,4000091
1945,aggressive_investor,42,301729,7483099
1946,moderate_investor,16,1505219,5211681
1947,moderate_investor,22,512607,2854208
1948,aggressive_investor,18,454052,1924517
1949,moderate_investor,22,691318,3493594
1950,nervous_investor,41,556208,5909661
1951,moderate_investor,47,415936,13899751
1952,moderate_investor,16,1761522,5814204
1953,conservative_investor,12,172963,349797
1954,nervous_investor,27,1875957,8742154
1955,moderate_investor,45,605152,18621750
1956,moderate_investor,32,62581,720164
1957,conservative_investor,30,646734,3704333
1958,moderate_investor,29,1101533,9525587
1959,nervous_investor,50,1815864,51220185
1960,nervous_investor,30,1578350,12830526
1961,conservative_investor,28,245251,1214598
1962,conservative_investor,41,827762,8581276
1963,nervous_investor,21,999536,2807906
1964,nervous_investor,10,614285,973701
1965,moderate_investor,47,1013752,35010263
1966,aggressive_investor,10,864294,1845718
1967,aggressive_investor,25,742623,5987025
1968,aggressive_investor,41,85801,2067839
1969,moderate_investor,27,1898196,13658299
1970,aggressive_investor,19,1321231,6865233
1971,nervous_investor,10,613438,1133261
1972,nervous_investor,18,143613,380914
1973,aggressive_investor,24,540844,3525876
1974,nervous_investor,10,473393,832828
1975,conservative_investor,41,1811478,19491601
1976,aggressive_investor,47,791525,33966139
1977,conservative_investor,15,903740,2035815
1978,nervous_investor,24,951924,4422866
1979,moderate_investor,46,1825488,56928052
1980,conservative_investor,49,1571779,25754298
1981,moderate_investor,16,1663619,5304462
1982,moderate_investor,49,727616,27003713
1983,nervous_investor,32,396650,2471347
1984,moderate_investor,19,1072858,4660632
1985,moderate_investor,24,260642,1516879
1986,nervous_investor,35,639159,7055758
1987,moderate_investor,27,1806086,12977943
1988,moderate_investor,49,723115,26175389
1989,nervous_investor,27,1073181,5948855
1990,moderate_investor,28,1309904,10739387
1991,moderate_investor,36,1426315,19362703
1992,aggressive_investor,38,539269,10257067
1993,moderate_investor,33,1189062,11955018
1994,aggressive_investor,37,490980,9914379
1995,conservative_investor,37,1606131,12864353
1996,conservative_investor,21,208747,678463
1997,moderate_investor,21,498854,2449253
1998,aggressive_investor,50,414445,23697741
1999,moderate_investor,13,1211723,3078447
2000,nervous_investor,29,930562,5153539
2001,aggressive_investor,13,1805059,4538314
2002,moderate_investor,35,1353216,19062999
2003,aggressive_investor,24,1728957,10247243
2004,aggressive_investor,19,694173,3504608
2005,conservative_investor,36,787763,6288723
2006,aggressive_investor,15,646775,1848219
2007,nervous_investor,13,1916835,4271239
2008,conservative_investor,29,1725524,9122863
2009,aggressive_investor,20,387864,2235897
2010,moderate_investor,12,164117,361788
2011,aggressive_investor,45,1177908,44987489
2012,aggressive_investor,47,950636,32955202
2013,moderate_investor,44,841584,24509781
2014,conservative_investor,38,132517,1229592
2015,moderate_investor,38,986210,17094266
2016,moderate_investor,37,702215,11033567
2017,conservative_investor,36,968817,7800477
2018,conservative_investor,24,874207,3387761
2019,moderate_investor,18,154992,609383
2020,nervous_investor,15,1328484,2583768
2021,aggressive_investor,33,533651,6865978
2022,conservative_investor,18,1435257,3886134
2023,nervous_investor,26,1393228,6416117
2024,aggressive_investor,33,538433,6963116
2025,aggressive_investor,17,1469719,5884237
2026,moderate_investor,42,734101,16676292
2027,nervous_investor,27,175469,816315
2028,conservative_investor,23,283571,1124082
2029,conservative_investor,15,167804,405401
2030,nervous_investor,22,1956874,6994234
2031,conservative_investor,31,628142,3709726
2032,conservative_investor,27,1397131,6775424
2033,conservative_investor,26,354751,1458255
2034,conservative_investor,22,200195,686051
2035,moderate_investor,44,620433,17911771
2036,nervous_investor,49,1835968,35647661
2037,conservative_investor,17,1200445,3055873
2038,nervous_investor,41,1881112,29113363
2039,aggressive_investor,10,278146,589823
2040,moderate_investor,33,1561153,17687977
2041,conservative_investor,39,1643869,15566387
2042,aggressive_investor,11,315358,646311
2043,moderate_investor,44,492341,12266112
2044,conservative_investor,46,426753,6022195
2045,nervous_investor,30,871300,5520679
2046,moderate_investor,13,607860,1668368
2047,moderate_investor,15,885346,2862209
2048,nervous_investor,39,1080430,14579629
2049,aggressive_investor,34,1839986,24512556
2050,conservative_investor,46,1224298,18011002
2051,nervous_investor,33,1981205,12154352
2052,nervous_investor,34,16841,91569
2053,aggressive_investor,40,170319,2981167
2054,nervous_investor,26,1179448,4794801
2055,nervous_investor,18,1165837,3881276
2056,aggressive_investor,42,1951737,55245927
